Date,Value
2017-03-17,552676695.368399
2017-03-18,358857764.257
2017-03-19,251863755.76
2017-03-20,301488144.209954
2017-03-21,338645232.716
2017-03-22,378214892.375
2017-03-23,312768150.521022
2017-03-24,393959388.238
2017-03-25,317578894.427
2017-03-26,234975161.590919
2017-03-27,314065026.072
2017-03-28,427464477.241
2017-03-29,270264531.240309
2017-03-30,338050783.413
2017-03-31,458122200.82
2017-04-01,275732331.549016
2017-04-02,279296199.772
2017-04-03,352832392.709
2017-04-04,348486729.241388
2017-04-05,366491387.361
2017-04-06,373394291.449
2017-04-07,411459319.524365
2017-04-08,195546229.569
2017-04-09,221823326.333
2017-04-10,276975890.505248
2017-04-11,356178072.388
2017-04-12,324655762.716
2017-04-13,296565393.518839
2017-04-14,357882778.187
2017-04-15,277386308.86
2017-04-16,248893303.715128
2017-04-17,350736258.009
2017-04-18,358703371.136
2017-04-19,305279308.340359
2017-04-20,362526871.165
2017-04-21,343765582.749
2017-04-22,220730616.638858
2017-04-23,216214543.25
2017-04-24,275563451.446
2017-04-25,393127864.708434
2017-04-26,374510235.061
2017-04-27,403324576.013
2017-04-28,423281308.506147
2017-04-29,358298055.711
2017-04-30,270224936.574
2017-05-01,446976193.582856
2017-05-02,459618754.831
2017-05-03,478643852.401
2017-05-04,635339356.026632
2017-05-05,572492738.292
2017-05-06,473676745.126
2017-05-07,442601453.184986
2017-05-08,718838977.073
2017-05-09,761394965.372
2017-05-10,743762053.06786
2017-05-11,663588561.074
2017-05-12,591706179.241
2017-05-13,426951909.091612
2017-05-14,437151327.764
2017-05-15,691417744.077
2017-05-16,594333395.307832
2017-05-17,937290192.578
2017-05-18,677185578.423
2017-05-19,845185438.857744
2017-05-20,681378820.786
2017-05-21,545513367.88
2017-05-22,920544425.97211
2017-05-23,1026598216.67
2017-05-24,1071925264.37
2017-05-25,1318459470.59989
2017-05-26,946402388.928
2017-05-27,646375171.124
2017-05-28,528810229.383807
2017-05-29,574153810.848
2017-05-30,894942260.97
2017-05-31,840617433.492568
2017-06-01,945504768.845
2017-06-02,726398967.485
2017-06-03,828539265.381656
2017-06-04,627567197.394
2017-06-05,796468589.3
2017-06-06,888558904.123181
2017-06-07,883089172.782
2017-06-08,810352769.005
2017-06-09,685475617.745
2017-06-10,671075205.245
2017-06-11,657286287.918
2017-06-12,891415561.221529
2017-06-13,848899018.333
2017-06-14,753304915.377
2017-06-15,704179683.271891
2017-06-16,624436119.97
2017-06-17,536083586.08
2017-06-18,531175986.631959
2017-06-19,610147802.968
2017-06-20,712285162.403
2017-06-21,835467130.108463
2017-06-22,692310514.891
2017-06-23,555414772.842
2017-06-24,433119966.233253
2017-06-25,509648501.094
2017-06-26,694801740.266
2017-06-27,687790878.577049
2017-06-28,723115848.433
2017-06-29,609903745.579
2017-06-30,771010449.218829
2017-07-01,471702116.785
2017-07-02,595876275.288
2017-07-03,590179543.656499
2017-07-04,568885136.293
2017-07-05,730594292.935
2017-07-06,536928215.088525
2017-07-07,715785277.025
2017-07-08,558655116.26
2017-07-09,714533490.943618
2017-07-10,686994894.88
2017-07-11,651438758.556
2017-07-12,557154714.150382
2017-07-13,443677408.291
2017-07-14,486550966.171
2017-07-15,459530087.737274
2017-07-16,461314550.095
2017-07-17,570175601.509
2017-07-18,612361551.304947
2017-07-19,584802118.293
2017-07-20,755326162.653
2017-07-21,703181494.386552
2017-07-22,498204137.656
2017-07-23,423959853.132
2017-07-24,568575160.453683
2017-07-25,758199393.126
2017-07-26,676202732.851
2017-07-27,849185180.945369
2017-07-28,1328334473.75
2017-07-29,928609716.264
2017-07-30,1157398139.86185
2017-07-31,1772644310.59
2017-08-01,1369195845.96
2017-08-02,1424505879.24285
2017-08-03,970956325.844
2017-08-04,1196484565.0
2017-08-05,979154079.251385
2017-08-06,1044204487.06
2017-08-07,1385571339.14
2017-08-08,1230025637.35308
2017-08-09,807119553.203
2017-08-10,963128414.093
2017-08-11,985601487.693678
2017-08-12,870629381.105
2017-08-13,926444961.957
2017-08-14,866674915.893119
2017-08-15,1206087776.36
2017-08-16,982522797.133
2017-08-17,1362840510.69978
2017-08-18,1137241535.01
2017-08-19,1323689299.87
2017-08-20,758991072.40884
2017-08-21,819457187.488
2017-08-22,881477645.718
2017-08-23,1053263975.41305
2017-08-24,756043560.938
2017-08-25,765174341.396
2017-08-26,687934750.253782
2017-08-27,781459739.104
2017-08-28,925154460.786
2017-08-29,1113343542.50353
2017-08-30,1010875740.75
2017-08-31,1192190047.07
2017-09-01,1220477319.81695
2017-09-02,918257379.548
2017-09-03,795926407.795
2017-09-04,1452488599.68739
2017-09-05,1403653848.43
2017-09-06,1347017552.02
2017-09-07,1250684680.98455
2017-09-08,1024260564.13
2017-09-09,778259235.639
2017-09-10,849737599.424126
2017-09-11,848892503.36
2017-09-12,906438524.081
2017-09-13,1001341343.71237
2017-09-14,889710944.009
2017-09-15,1503345854.33
2017-09-16,755451379.92034
2017-09-17,571971943.162
2017-09-18,838578661.709
2017-09-19,869566641.158497
2017-09-20,736406709.825
2017-09-21,688978348.872
2017-09-22,720084890.797891
2017-09-23,498447359.008
2017-09-24,359612295.379
2017-09-25,992813616.585088
2017-09-26,774208152.991
2017-09-27,721892560.176
2017-09-28,846414368.613928
2017-09-29,729473582.828
2017-09-30,663214577.875
2017-10-01,495152833.454326
2017-10-02,848062737.177
2017-10-03,691406024.482
2017-10-04,611184779.702613
2017-10-05,814413222.018
2017-10-06,714231923.302
2017-10-07,552496903.66649
2017-10-08,676195487.48
2017-10-09,1118783648.0
2017-10-10,1189113919.87786
2017-10-11,837665469.625
2017-10-12,1107300179.99
2017-10-13,1477309948.05088
2017-10-14,1023554358.7
2017-10-15,868580434.843
2017-10-16,1148993979.04203
2017-10-17,1111146061.46
2017-10-18,1395865356.31
2017-10-19,1435812894.93232
2017-10-20,1118742453.83
2017-10-21,929448820.609
2017-10-22,996113498.470227
2017-10-23,2396482266.96
2017-10-24,2102862590.16
2017-10-25,2093083247.85009
2017-10-26,1970506447.29
2017-10-27,952470634.548
2017-10-28,645357529.902608
2017-10-29,1306645347.28
2017-10-30,1681454664.16
2017-10-31,1557216921.88694
2017-11-01,1269855999.92
2017-11-02,2392765593.6
2017-11-03,1685749159.21425
2017-11-04,1424364752.55
2017-11-05,1309726635.21
2017-11-06,1629540869.12293
2017-11-07,1826009240.7
2017-11-08,1888939271.11
2017-11-09,2366841243.84241
2017-11-10,1944419256.12
2017-11-11,1344145630.42
2017-11-12,1946782857.0861
2017-11-13,2115296495.82
2017-11-14,1833276923.3
2017-11-15,2274507065.39276
2017-11-16,2351529593.37
2017-11-17,2803405660.01
2017-11-18,1967731645.24613
2017-11-19,1610358777.87
2017-11-20,2394321375.2
2017-11-21,2632881286.5975
2017-11-22,1730604252.11
2017-11-23,2455560232.76
2017-11-24,2685926757.31595
2017-11-25,2368622335.77
2017-11-26,2264912543.13
2017-11-27,3382462034.24211
2017-11-28,3250901799.03
2017-11-29,3966055569.86
2017-11-30,3446153829.33153
2017-12-01,2679696382.88
2017-12-02,1985357942.79
2017-12-03,2065023836.1632
2017-12-04,2601197062.2
