Date,Value
2016-11-28,298530.0
2016-11-29,294140.0
2016-11-30,292654.0
2016-12-01,239682.0
2016-12-02,318263.0
2016-12-03,287988.0
2016-12-04,245650.0
2016-12-05,278001.0
2016-12-06,319762.0
2016-12-07,311361.0
2016-12-08,282711.0
2016-12-09,268815.0
2016-12-10,250241.0
2016-12-11,268662.0
2016-12-12,268662.0
2016-12-13,291757.0
2016-12-14,286328.0
2016-12-15,282685.0
2016-12-16,279361.0
2016-12-17,239034.0
2016-12-18,235789.0
2016-12-19,284852.0
2016-12-20,296473.0
2016-12-21,325677.0
2016-12-22,314644.0
2016-12-23,304997.0
2016-12-24,240820.0
2016-12-25,199614.0
2016-12-26,244914.0
2016-12-27,296546.0
2016-12-28,305394.0
2016-12-29,304605.0
2016-12-30,286818.0
2016-12-31,250273.0
2017-01-01,180502.0
2017-01-02,290951.0
2017-01-03,301664.0
2017-01-04,330164.0
2017-01-05,288501.0
2017-01-06,346405.0
2017-01-07,284719.0
2017-01-08,260101.0
2017-01-09,269947.0
2017-01-10,323888.0
2017-01-11,303058.0
2017-01-12,297756.0
2017-01-13,275149.0
2017-01-14,242269.0
2017-01-15,235999.0
2017-01-16,267640.0
2017-01-17,292697.0
2017-01-18,298751.0
2017-01-19,300605.0
2017-01-20,298377.0
2017-01-21,263562.0
2017-01-22,236886.0
2017-01-23,235530.0
2017-01-24,278177.0
2017-01-25,305961.0
2017-01-26,313755.0
2017-01-27,263332.0
2017-01-28,246395.0
2017-01-29,241627.0
2017-01-30,250829.0
2017-01-31,307683.0
2017-02-01,350560.0
2017-02-02,259559.0
2017-02-03,323563.0
2017-02-04,284778.0
2017-02-05,292101.0
2017-02-06,230027.0
2017-02-07,325268.0
2017-02-08,308316.0
2017-02-09,346544.0
2017-02-10,301789.0
2017-02-11,262686.0
2017-02-12,238182.0
2017-02-13,288290.0
2017-02-14,315084.0
2017-02-15,294786.0
2017-02-16,283203.0
2017-02-17,319767.0
2017-02-18,288149.0
2017-02-19,251721.0
2017-02-20,282728.0
2017-02-21,279090.0
2017-02-22,282194.0
2017-02-23,325913.0
2017-02-24,350751.0
2017-02-25,326521.0
2017-02-26,265203.0
2017-02-27,284555.0
2017-02-28,325414.0
2017-03-01,315883.0
2017-03-02,329428.0
2017-03-03,337310.0
2017-03-04,268875.0
2017-03-05,280739.0
2017-03-06,287731.0
2017-03-07,327902.0
2017-03-08,297108.0
2017-03-09,303632.0
2017-03-10,308482.0
2017-03-11,280681.0
2017-03-12,221110.0
2017-03-13,273079.0
2017-03-14,310395.0
2017-03-15,292434.0
2017-03-16,327034.0
2017-03-17,292196.0
2017-03-18,263530.0
2017-03-19,271239.0
2017-03-20,277033.0
2017-03-21,288055.0
2017-03-22,320713.0
2017-03-23,287871.0
2017-03-24,289521.0
2017-03-25,242975.0
2017-03-26,221915.0
2017-03-27,232291.0
2017-03-28,294001.0
2017-03-29,283931.0
2017-03-30,288788.0
2017-03-31,259403.0
2017-04-01,255871.0
2017-04-02,244203.0
2017-04-03,288141.0
2017-04-04,256015.0
2017-04-05,316555.0
2017-04-06,290465.0
2017-04-07,295463.0
2017-04-08,226959.0
2017-04-09,238286.0
2017-04-10,275496.0
2017-04-11,307893.0
2017-04-12,278093.0
2017-04-13,228679.0
2017-04-14,290208.0
2017-04-15,271976.0
2017-04-16,211829.0
2017-04-17,245184.0
2017-04-18,303091.0
2017-04-19,310104.0
2017-04-20,267915.0
2017-04-21,330354.0
2017-04-22,268712.0
2017-04-23,245039.0
2017-04-24,222671.0
2017-04-25,325387.0
2017-04-26,334471.0
2017-04-27,297884.0
2017-04-28,305271.0
2017-04-29,341319.0
2017-04-30,281489.0
2017-05-01,294786.0
2017-05-02,333161.0
2017-05-03,295149.0
2017-05-04,354737.0
2017-05-05,267193.0
2017-05-06,363022.0
2017-05-07,316011.0
2017-05-08,365096.0
2017-05-09,332879.0
2017-05-10,311391.0
2017-05-11,294743.0
2017-05-12,317698.0
2017-05-13,329266.0
2017-05-14,369098.0
2017-05-15,329229.0
2017-05-16,233977.0
2017-05-17,317527.0
2017-05-18,288904.0
2017-05-19,319502.0
2017-05-20,352805.0
2017-05-21,326057.0
2017-05-22,327868.0
2017-05-23,367710.0
2017-05-24,338642.0
2017-05-25,350114.0
2017-05-26,333340.0
2017-05-27,331914.0
2017-05-28,308143.0
2017-05-29,321638.0
2017-05-30,347961.0
2017-05-31,321634.0
2017-06-01,319709.0
2017-06-02,271539.0
